ecg,ppg
-0.05493,0.47485
-0.04272,0.43579
-0.05127,0.41626
-0.04639,0.41138
-0.05127,0.38208
-0.05493,0.36133
-0.05005,0.35645
-0.04883,0.3479
-0.03174,0.32593
-0.04761,0.29419
-0.04883,0.2832
-0.05005,0.25879
-0.05981,0.26123
-0.06836,0.23315
-0.07935,0.22949
-0.08423,0.19897
-0.07324,0.19287
-0.05981,0.17334
-0.04883,0.15625
-0.05371,0.14648
-0.04639,0.14771
-0.04761,0.12939
-0.04883,0.11597
-0.05493,0.11475
-0.05737,0.12085
-0.06226,0.11597
-0.05615,0.10132
-0.05493,0.09277
-0.04272,0.08667
-0.03662,0.08423
-0.04517,0.08789
-0.06226,0.08545
-0.07324,0.09155
-0.06714,0.09766
-0.05371,0.08667
-0.05981,0.08545
-0.05615,0.08057
-0.05615,0.08545
-0.04272,0.08911
-0.03784,0.07446
-0.02441,0.05371
-0.02319,0.04639
-0.02319,0.05371
-0.0061,0.04272
0.01465,0.00732
0.02197,0.00244
0.00732,-0.0061
0.00244,-0.03906
0.00977,-0.04395
0.01343,-0.05615
0.01099,-0.07813
0.00122,-0.08789
-0.01343,-0.12695
-0.0293,-0.12695
-0.03662,-0.14648
-0.04761,-0.16846
-0.0415,-0.18921
-0.04028,-0.22827
-0.03296,-0.22339
-0.04883,-0.2478
-0.05371,-0.27588
-0.05981,-0.28809
-0.05981,-0.3064
-0.04761,-0.34302
-0.03174,-0.35156
-0.03052,-0.36133
-0.03052,-0.38574
-0.02808,-0.40771
0.0061,-0.41504
0.05859,-0.43213
0.12939,-0.44678
0.19287,-0.48218
0.19043,-0.49927
0.14893,-0.49194
0.04761,-0.50537
-0.05737,-0.52612
-0.13184,-0.54077
-0.15381,-0.57007
-0.13062,-0.5603
-0.09888,-0.57617
-0.05859,-0.60425
-0.02563,-0.59692
-0.02075,-0.61401
-0.03418,-0.63477
-0.04517,-0.63721
-0.0354,-0.64331
-0.01465,-0.65063
-0.00732,-0.66162
-0.00977,-0.68604
-0.01099,-0.69336
-0.00732,-0.69946
0,-0.7019
0.01587,-0.70679
0.02319,-0.71899
0.01831,-0.73242
0.01343,-0.72632
0.03052,-0.75562
0.05615,-0.76538
0.06592,-0.77026
0.03906,-0.75195
0.02441,-0.77759
0.0293,-0.78735
0.05127,-0.78003
0.07568,-0.79834
0.08423,-0.78613
0.09766,-0.80566
0.10376,-0.78247
0.09399,-0.80688
0.09155,-0.79834
0.09033,-0.79102
0.1062,-0.76904
0.11841,-0.74219
0.11597,-0.68237
0.10742,-0.62988
0.09277,-0.58716
0.09521,-0.51147
0.09766,-0.41382
0.08423,-0.32837
0.08789,-0.23682
0.08179,-0.1416
0.09277,-0.04883
0.08911,0.05737
0.05737,0.15015
0.0354,0.27222
0.00366,0.35278
-0.01099,0.45044
-0.02319,0.53223
-0.03296,0.61035
-0.02441,0.67505
-0.04639,0.72876
-0.0708,0.77759
-0.0769,0.80322
-0.08301,0.82642
-0.06592,0.84961
-0.07568,0.85815
-0.09033,0.86426
-0.1001,0.85938
-0.10376,0.85571
-0.09277,0.86304
-0.09277,0.8252
-0.08789,0.82397
-0.09888,0.80444
-0.1001,0.76904
-0.08179,0.74951
-0.07446,0.71411
-0.0769,0.69458
-0.07568,0.68604
-0.08057,0.6543
-0.07935,0.6311
-0.08179,0.62134
-0.08057,0.5835
-0.0647,0.58472
-0.05615,0.55176
-0.06104,0.53223
-0.06592,0.52124
-0.0708,0.51758
-0.05615,0.4895
-0.05005,0.48706
-0.0647,0.46753
-0.07813,0.45166
-0.08057,0.42114
-0.0769,0.41504
-0.06714,0.41138
-0.05981,0.40039
-0.0647,0.36865
-0.07568,0.35522
-0.07568,0.33569
-0.08057,0.33325
-0.0647,0.31494
-0.06958,0.3125
-0.07446,0.28809
-0.08301,0.28931
-0.07568,0.2832
-0.05615,0.25513
-0.03906,0.26123
-0.03662,0.23804
-0.03296,0.25024
-0.04395,0.22949
-0.05127,0.22583
-0.07446,0.23682
-0.08057,0.21606
-0.07568,0.21118
-0.07813,0.22827
-0.07813,0.21118
-0.08667,0.20752
-0.08789,0.20874
-0.06714,0.18677
-0.05615,0.2002
-0.05249,0.19409
-0.06348,0.16479
-0.05493,0.17944
-0.03906,0.15137
-0.0293,0.15137
-0.03296,0.14526
-0.03418,0.12939
-0.03052,0.10376
-0.01343,0.08423
-0.02319,0.07935
-0.01587,0.06592
-0.02075,0.04883
-0.01221,0.02197
0.00488,0.01221
0,-0.00732
0.00366,-0.02808
-0.00366,-0.05493
-0.02075,-0.09277
